Scaffold,Transcription Start,Strand,Name,Gene,Product
NC_007604,669288,+,-,Synpcc7942_0674,coproporphyrinogen III oxidase
NC_007604,670818,-,-,Synpcc7942_0675,hypothetical protein
NC_007604,670914,+,-,Synpcc7942_0676,hypothetical protein
NC_007604,672631,-,-,Synpcc7942_0677,PadR family transcriptional regulator
NC_007604,672767,+,-,Synpcc7942_0678,3'-5' exonuclease
NC_007604,673441,+,-,Synpcc7942_R0038,Val tRNA
NC_007604,673668,+,-,Synpcc7942_0679,RNA-binding region RNP-1
NC_007604,674334,+,-,Synpcc7942_0680,C-5 sterol desaturase
NC_007604,675862,-,ispD,Synpcc7942_0681,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NC_007604,675946,+,-,Synpcc7942_0682,hypothetical protein
NC_007604,676942,+,-,Synpcc7942_0683,potassium channel protein
NC_007604,678025,+,-,Synpcc7942_0684,3-oxoacyl-ACP reductase
NC_007604,678881,+,groEL,Synpcc7942_0685,molecular chaperone GroEL
NC_007604,680711,+,-,Synpcc7942_0686,FO synthase subunit 2
NC_007604,682128,+,-,Synpcc7942_0687,hypothetical protein
NC_007604,683722,+,-,Synpcc7942_0688,ArsR family transcriptional regulator
NC_007604,684884,-,-,Synpcc7942_0689,hypothetical protein
NC_007604,685209,-,clpS,Synpcc7942_0690,ATP-dependent Clp protease adaptor protein ClpS
NC_007604,685290,+,-,Synpcc7942_0691,hypothetical protein
NC_007604,686185,-,-,Synpcc7942_0692,hypothetical protein
NC_007604,687080,-,-,Synpcc7942_0693,hypothetical protein
NC_007604,688061,-,-,Synpcc7942_0694,30S ribosomal protein S1
NC_007604,688992,-,nrdR,Synpcc7942_0695,transcriptional regulator NrdR
NC_007604,689145,-,psbT,Synpcc7942_0696,photosystem II reaction center protein T
NC_007604,690856,-,-,Synpcc7942_0697,photosystem II core light harvesting protein
NC_007604,691085,+,-,Synpcc7942_0698,ferredoxin
NC_007604,691619,+,psbM,Synpcc7942_0699,photosystem II reaction center protein M
NC_007604,692744,-,-,Synpcc7942_0700,hypothetical protein
NC_007604,692679,+,-,Synpcc7942_0701,hypothetical protein
NC_007604,693257,+,-,Synpcc7942_0702,hypothetical protein
NC_007604,694072,+,-,Synpcc7942_0703,DNA processing protein DprA
NC_007604,695281,+,-,Synpcc7942_0704,chloramphenicol O-acetyltransferase
NC_007604,695935,+,-,Synpcc7942_0705,hypothetical protein
NC_007604,697191,-,-,Synpcc7942_0706,precorrin-6B methylase
NC_007604,698641,-,-,Synpcc7942_0707,arginine decarboxylase
NC_007604,698708,+,-,Synpcc7942_0708,hypothetical protein
NC_007604,700511,+,-,Synpcc7942_0709,hypothetical protein
NC_007604,701538,-,-,Synpcc7942_0710,hypothetical protein
NC_007604,701604,+,carB,Synpcc7942_0711,carbamoyl phosphate synthase large subunit
NC_007604,706350,-,-,Synpcc7942_0712,C-terminal processing peptidase-2
NC_007604,707673,-,ispG,Synpcc7942_0713,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
NC_007604,709450,-,-,Synpcc7942_0714,cell wall hydrolase/autolysin
NC_007604,709692,-,-,Synpcc7942_R0039,Leu tRNA
NC_007604,709919,+,-,Synpcc7942_0715,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
NC_007604,711226,+,-,Synpcc7942_R0040,Leu tRNA
NC_007604,711446,+,-,Synpcc7942_0716,hypothetical protein
NC_007604,713651,-,-,Synpcc7942_0717,dCTP deaminase
NC_007604,714331,-,-,Synpcc7942_0718,hypothetical protein
NC_007604,714831,-,-,Synpcc7942_0719,hypothetical protein
NC_007604,715389,-,-,Synpcc7942_0720,hypothetical protein
NC_007604,715882,-,-,Synpcc7942_0721,hypothetical protein
NC_007604,717025,-,-,Synpcc7942_0722,hypothetical protein
NC_007604,717964,-,-,Synpcc7942_0723,hypothetical protein
NC_007604,718004,+,-,Synpcc7942_0724,hypothetical protein
NC_007604,718666,+,-,Synpcc7942_0725,DEAD/DEAH box helicase-like protein
NC_007604,720068,+,-,Synpcc7942_0726,hypothetical protein
NC_007604,720423,+,-,Synpcc7942_0727,hypothetical protein
NC_007604,723215,+,-,Synpcc7942_0728,hypothetical protein
NC_007604,723806,+,-,Synpcc7942_0729,hypothetical protein
NC_007604,724626,+,-,Synpcc7942_0730,hypothetical protein
NC_007604,725474,+,-,Synpcc7942_0731,phage terminase large subunit
NC_007604,727482,+,-,Synpcc7942_0732,hypothetical protein
NC_007604,727691,+,-,Synpcc7942_0733,"Phage portal protein, lambda"
NC_007604,729177,+,-,Synpcc7942_0734,hypothetical protein
NC_007604,731099,+,-,Synpcc7942_0735,hypothetical protein
NC_007604,731434,+,-,Synpcc7942_0736,electron transfer protein
NC_007604,731738,+,-,Synpcc7942_0737,hypothetical protein
NC_007604,732710,+,-,Synpcc7942_0738,Phage baseplate assembly protein V
NC_007604,733267,+,-,ORF01999,PaaR membrane protein
NC_007604,733536,+,-,Synpcc7942_0739,hypothetical protein
NC_007604,733877,+,-,Synpcc7942_0740,GPJ of phage P2-like protein
NC_007604,734713,+,-,Synpcc7942_0741,Phage tail protein I
NC_007604,735651,+,-,Synpcc7942_0742,hypothetical protein
NC_007604,736140,+,-,Synpcc7942_0743,hypothetical protein
NC_007604,738156,+,-,Synpcc7942_0744,hypothetical protein
NC_007604,739615,+,-,Synpcc7942_0745,hypothetical protein
NC_007604,740782,+,-,Synpcc7942_0746,hypothetical protein
NC_007604,741396,+,-,Synpcc7942_0747,hypothetical protein
NC_007604,742817,+,-,Synpcc7942_0748,Phage major tail tube protein
NC_007604,743324,+,-,Synpcc7942_0749,hypothetical protein
NC_007604,743738,+,-,Synpcc7942_0750,"Phage tail tape measure protein TP901, core region"
NC_007604,746590,+,-,Synpcc7942_0751,hypothetical protein
NC_007604,747510,+,-,Synpcc7942_0752,hypothetical protein
NC_007604,747719,+,-,Synpcc7942_0753,phage late control gene D protein GPD
NC_007604,749431,-,-,Synpcc7942_0754,hypothetical protein
NC_007604,749431,+,-,Synpcc7942_0755,hypothetical protein
NC_007604,750406,+,-,Synpcc7942_0756,"chain A, D20c mutant of T4 lysozyme"
NC_007604,751253,+,-,Synpcc7942_0757,hypothetical protein
NC_007604,751959,+,-,Synpcc7942_0758,hypothetical protein
NC_007604,752571,+,-,Synpcc7942_0759,hypothetical protein
NC_007604,753954,+,-,Synpcc7942_0760,hypothetical protein
NC_007604,755661,-,-,Synpcc7942_0761,hypothetical protein
NC_007604,756685,-,-,Synpcc7942_0762,hypothetical protein
NC_007604,757318,-,-,Synpcc7942_0763,XRE family transcriptional regulator
NC_007604,757595,-,-,Synpcc7942_0764,XRE family transcriptional regulator
NC_007604,757905,-,-,ORF02027,"Cro/C1-type HTH DNA-binding domain, antidote protein HigA"
NC_007604,757839,+,-,Synpcc7942_0765,hypothetical protein
NC_007604,758390,+,-,Synpcc7942_0766,DNA-damage-inducible protein
NC_007604,759413,+,-,Synpcc7942_0767,hypothetical protein
NC_007604,760252,+,-,Synpcc7942_0768,hypothetical protein
NC_007604,761226,+,-,Synpcc7942_0769,hypothetical protein
NC_007604,762159,+,-,Synpcc7942_0770,hypothetical protein
NC_007604,764854,-,-,Synpcc7942_0771,hypothetical protein
NC_007604,765577,-,-,Synpcc7942_0772,hypothetical protein
NC_007604,766197,-,-,Synpcc7942_0773,hypothetical protein
NC_007604,766216,+,-,Synpcc7942_0774,esterase
NC_007604,767721,-,-,Synpcc7942_0775,hypothetical protein
NC_007604,768630,-,-,Synpcc7942_0776,farnesyl-diphosphate synthase
NC_007604,769538,-,-,Synpcc7942_0777,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"
NC_007604,769574,+,-,Synpcc7942_0778,hypothetical protein
NC_007604,770131,+,-,Synpcc7942_0779,metal dependent phosphohydrolase
NC_007604,773958,-,-,Synpcc7942_0780,serine/threonine protein kinase
NC_007604,776520,-,-,Synpcc7942_0781,phosphoenolpyruvate synthase
NC_007604,778556,-,-,Synpcc7942_0782,ATPase
NC_007604,779245,-,hisG,Synpcc7942_0783,ATP phosphoribosyltransferase
NC_007604,779531,+,-,Synpcc7942_0784,hypothetical protein
NC_007604,779781,+,-,Synpcc7942_0785,penicillin-binding protein 1A
NC_007604,782076,+,-,Synpcc7942_0786,hypothetical protein
NC_007604,783007,+,-,Synpcc7942_0787,purple acid phosphatase
NC_007604,784748,-,-,Synpcc7942_0788,glutathione S-transferase
NC_007604,785167,-,-,Synpcc7942_0789,hypothetical protein
NC_007604,785894,-,-,Synpcc7942_0790,RNA-binding region RNP-1
NC_007604,787211,-,-,Synpcc7942_0791,poly(A) polymerase
NC_007604,788490,-,-,Synpcc7942_0792,multidrug efflux MFS transporter
NC_007604,789261,-,-,Synpcc7942_0793,hypothetical protein
NC_007604,790284,-,-,Synpcc7942_0794,hypothetical protein
NC_007604,791047,-,-,Synpcc7942_0795,hypothetical protein
NC_007604,791162,+,-,Synpcc7942_0796,hypothetical protein
NC_007604,792010,+,-,Synpcc7942_0797,hypothetical protein
NC_007604,792804,-,ruvC,Synpcc7942_0798,Holliday junction resolvase
NC_007604,794390,-,-,Synpcc7942_0799,Elongator protein 3
NC_007604,795048,-,-,Synpcc7942_0800,hypothetical protein
NC_007604,795123,+,-,Synpcc7942_0801,superoxide dismutase
NC_007604,795917,+,-,Synpcc7942_0802,allophycocyanin alpha chain-like protein
NC_007604,797320,-,-,Synpcc7942_0803,hypothetical protein
NC_007604,797214,+,pdxA,Synpcc7942_0804,4-hydroxythreonine-4-phosphate dehydrogenase
NC_007604,798349,+,-,Synpcc7942_0805,hypothetical protein
NC_007604,799095,+,-,Synpcc7942_0806,16S ribosomal RNA methyltransferase RsmE
NC_007604,799840,+,-,Synpcc7942_0807,hypothetical protein
NC_007604,802980,-,-,Synpcc7942_0808,HAD family hydrolase
NC_007604,803073,+,-,Synpcc7942_0809,hypothetical protein
NC_007604,804853,+,-,Synpcc7942_0810,hypothetical protein
NC_007604,805186,+,-,Synpcc7942_0811,Na+/H+ antiporter
NC_007604,806886,+,-,Synpcc7942_0812,molecular chaperone DnaJ
NC_007604,807829,+,hisZ,Synpcc7942_0813,ATP phosphoribosyltransferase
NC_007604,809109,+,-,Synpcc7942_0814,ferredoxin-like protein
NC_007604,809365,+,-,Synpcc7942_0815,ATPase
NC_007604,812226,-,-,Synpcc7942_0816,diguanylate cyclase/phosphodiesterase
NC_007604,812724,-,-,Synpcc7942_0817,ferric uptake regulator family protein
NC_007604,812955,+,-,Synpcc7942_0818,phosphoribosylformylglycinamidine synthase subunit PurS
NC_007604,813221,+,-,Synpcc7942_0819,phosphoribosylformylglycinamidine synthase I
NC_007604,813956,+,-,Synpcc7942_0820,hypothetical protein
NC_007604,814476,+,-,Synpcc7942_0821,periplasmic oligopeptide-binding
NC_007604,816064,+,-,Synpcc7942_0822,permease of oligopeptide ABC
NC_007604,817168,+,-,Synpcc7942_0823,hypothetical protein
NC_007604,818189,+,-,Synpcc7942_0824,hypothetical protein
NC_007604,820654,-,-,Synpcc7942_0825,hypothetical protein
NC_007604,820693,+,-,Synpcc7942_0826,hypothetical protein
NC_007604,822803,-,-,Synpcc7942_0827,cobalamin synthesis protein cobW-like protein
NC_007604,823241,-,-,Synpcc7942_0828,hypothetical protein
NC_007604,823506,+,-,Synpcc7942_0829,lipoproteins-like
NC_007604,823839,+,asnC,Synpcc7942_0830,asparaginyl-tRNA synthetase
NC_007604,826005,-,-,Synpcc7942_0831,hypothetical protein
NC_007604,827112,+,-,Synpcc7942_0833,hypothetical protein
NC_007604,828541,+,-,Synpcc7942_0834,hypothetical protein
NC_007604,829644,+,ruvB,Synpcc7942_0835,Holliday junction DNA helicase RuvB
NC_007604,832182,-,-,Synpcc7942_0836,hypothetical protein
NC_007604,832811,-,-,Synpcc7942_0837,hypothetical protein
NC_007604,833957,-,-,Synpcc7942_0838,Elongator protein 3/MiaB/NifB
NC_007604,834954,-,-,Synpcc7942_0839,Nitrilase
NC_007604,835473,-,-,Synpcc7942_0840,hypothetical protein
NC_007604,835671,+,-,Synpcc7942_0841,potassium transport flavoprotein
NC_007604,838478,-,-,Synpcc7942_0842,glutathione reductase
NC_007604,838935,-,-,Synpcc7942_0843,hypothetical protein
NC_007604,839812,-,-,Synpcc7942_0844,phosphoesterase PHP-like protein
NC_007604,839873,+,-,Synpcc7942_0845,hypothetical protein
NC_007604,841081,-,-,Synpcc7942_0846,hypothetical protein
NC_007604,842293,-,-,Synpcc7942_0847,twitching motility protein
NC_007604,845347,-,uvrA,Synpcc7942_0848,excinuclease ABC subunit A
NC_007604,846433,-,-,Synpcc7942_0849,hypothetical protein
NC_007604,846689,-,-,Synpcc7942_0850,hypothetical protein
NC_007604,847233,+,-,Synpcc7942_0851,phosphoribosylaminoimidazole synthetase
NC_007604,848870,+,-,Synpcc7942_0853,"L,L-diaminopimelate aminotransferase"
NC_007604,850233,+,-,Synpcc7942_0854,hypothetical protein
NC_007604,853593,+,-,Synpcc7942_0855,response regulator receiver domain-containing protein
NC_007604,854924,+,-,Synpcc7942_0856,response regulator receiver domain-containing protein
NC_007604,855315,+,-,Synpcc7942_0857,chemotaxis protein CheW
NC_007604,855893,+,-,Synpcc7942_0858,methyl-accepting chemotaxis sensory transducer with phytochrome sensor
NC_007604,860118,+,-,Synpcc7942_0859,CheA signal transduction histidine kinase
NC_007604,862987,+,-,Synpcc7942_0860,chemotaxis protein CheW
NC_007604,865572,-,-,Synpcc7942_0861,bifunctional sterol desaturase/short chain dehydrogenase
NC_007604,865596,+,ebsA,Synpcc7942_0862,"EbsA, hypothetical protein"
NC_007604,866027,+,-,Synpcc7942_0863,hypothetical protein
NC_007604,867395,+,-,Synpcc7942_0864,hypothetical protein
NC_007604,867986,+,-,Synpcc7942_0865,nucleotide-binding protein
NC_007604,868540,+,-,Synpcc7942_0866,hypothetical protein
NC_007604,869169,+,-,Synpcc7942_0867,hypothetical protein
NC_007604,869505,+,-,Synpcc7942_0868,hypothetical protein
NC_007604,871262,+,-,Synpcc7942_0869,hypothetical protein
NC_007604,872113,-,-,Synpcc7942_0870,hypothetical protein
NC_007604,872330,-,-,Synpcc7942_0871,hypothetical protein
NC_007604,872362,+,-,Synpcc7942_0872,hypothetical protein
NC_007604,874196,-,-,Synpcc7942_0873,hypothetical protein
NC_007604,877449,-,-,Synpcc7942_0874,DEAD/DEAH box helicase-like protein
NC_007604,877887,-,-,Synpcc7942_0875,hypothetical protein
NC_007604,877976,+,alaS,Synpcc7942_0876,alanyl-tRNA synthetase
NC_007604,880867,+,-,Synpcc7942_0877,Elongator protein 3/MiaB/NifB
NC_007604,883561,+,-,Synpcc7942_0878,ribonuclease
NC_007604,886245,+,rnhB,Synpcc7942_0879,ribonuclease HII
NC_007604,887472,-,-,Synpcc7942_0880,hypothetical protein
NC_007604,887552,+,-,Synpcc7942_0881,prephenate dehydratase
NC_007604,889159,-,-,Synpcc7942_0882,"peptidase S16, lon-like protein"
NC_007604,889684,-,rpsJ,Synpcc7942_0883,30S ribosomal protein S10
NC_007604,890952,-,-,Synpcc7942_0884,elongation factor Tu
NC_007604,893037,-,-,Synpcc7942_0885,elongation factor G
NC_007604,893590,-,-,Synpcc7942_0886,30S ribosomal protein S7
NC_007604,894247,-,rpsL,Synpcc7942_0887,30S ribosomal protein S12
NC_007604,894639,-,-,Synpcc7942_0888,mannose-1-phosphate guanylyltransferase
NC_007604,896453,-,-,Synpcc7942_0889,hypothetical protein
NC_007604,896607,+,-,Synpcc7942_0890,glutamate synthase (ferredoxin)
NC_007604,901736,+,-,Synpcc7942_0891,hypothetical protein
NC_007604,903119,-,cofG,Synpcc7942_0892,FO synthase subunit 1
NC_007604,903201,+,-,Synpcc7942_0893,photosystem q(b) protein
NC_007604,905417,-,aroK,Synpcc7942_0894,shikimate kinase
NC_007604,906657,-,-,Synpcc7942_0895,hypothetical protein
NC_007604,906832,+,-,Synpcc7942_0896,septum site-determining protein MinD
NC_007604,907653,+,-,Synpcc7942_0897,cell division topological specificity factor MinE
NC_007604,907925,+,-,Synpcc7942_0898,ferredoxin like protein
NC_007604,908331,+,-,Synpcc7942_R0041,Thr tRNA
NC_007604,909295,-,-,Synpcc7942_0899,hypothetical protein
NC_007604,909643,-,-,Synpcc7942_0900,hypothetical protein
NC_007604,909780,+,-,Synpcc7942_0901,haloalkane dehalogenase
NC_007604,911694,-,-,Synpcc7942_0902,hypothetical protein
NC_007604,914341,-,-,Synpcc7942_0903,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
NC_007604,914595,+,-,Synpcc7942_0904,hypothetical protein
NC_007604,915520,+,-,Synpcc7942_0905,hypothetical protein
NC_007604,916187,+,-,Synpcc7942_0906,hypothetical protein
NC_007604,916748,+,-,Synpcc7942_0907,hypothetical protein
NC_007604,917280,+,-,Synpcc7942_0908,hypothetical protein
NC_007604,918119,+,-,Synpcc7942_0909,HesB/YadR/YfhF
NC_007604,918533,+,-,Synpcc7942_0910,hypothetical protein
NC_007604,918998,+,-,Synpcc7942_0911,hypothetical protein
NC_007604,919325,+,-,Synpcc7942_0912,"DNA polymerase III, tau subunit"
NC_007604,921780,-,-,Synpcc7942_0913,N-acetyltransferase
NC_007604,922391,-,-,Synpcc7942_0914,tRNA-(MS(2)IO(6)A)-hydroxylase-like protein
NC_007604,922837,-,-,Synpcc7942_0915,3-dehydroquinate dehydratase
NC_007604,922985,-,-,Synpcc7942_0916,hypothetical protein
NC_007604,923151,+,-,Synpcc7942_R0042,Tyr tRNA
NC_007604,923243,+,-,Synpcc7942_R0043,Thr tRNA
NC_007604,923793,-,-,Synpcc7942_0917,hypothetical protein
NC_007604,924079,+,-,Synpcc7942_0918,long-chain-fatty-acid CoA ligase
NC_007604,926061,+,-,Synpcc7942_0919,hypothetical protein
NC_007604,927091,-,-,Synpcc7942_0920,photosystem I reaction center
NC_007604,927394,-,-,Synpcc7942_0921,hypothetical protein
NC_007604,928293,-,-,Synpcc7942_0922,glutamate--tRNA ligase
NC_007604,929168,-,-,Synpcc7942_0923,5'-methylthioadenosine phosphorylase
NC_007604,931214,-,-,Synpcc7942_0924,multi-sensor signal transduction histidine kinase
NC_007604,932579,-,-,Synpcc7942_0925,phosphoribosylamine--glycine ligase
NC_007604,932734,+,-,Synpcc7942_0926,hypothetical protein
NC_007604,933994,+,-,Synpcc7942_0927,phosphoribosylaminoimidazole-succinocarboxamide synthase
NC_007604,934850,+,-,Synpcc7942_0928,outer envelope membrane protein
NC_007604,937039,+,lpxC,Synpcc7942_0929,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
NC_007604,937894,+,fabZ,Synpcc7942_0930,(3R)-hydroxymyristoyl-ACP dehydratase
NC_007604,938386,+,-,Synpcc7942_0931,UDP-N-acetylglucosamine acyltransferase
NC_007604,939193,+,lpxB,Synpcc7942_0932,lipid-A-disaccharide synthase
NC_007604,940925,-,-,Synpcc7942_0933,hypothetical protein
NC_007604,940995,+,-,Synpcc7942_0934,hypothetical protein
NC_007604,942838,-,-,Synpcc7942_0935,hypothetical protein
NC_007604,943388,-,-,Synpcc7942_0936,rhodanese-like protein
NC_007604,944127,-,-,Synpcc7942_0937,hypothetical protein
NC_007604,944220,+,-,Synpcc7942_0938,ArsR family transcriptional regulator
NC_007604,944618,+,-,Synpcc7942_0939,adenylylsulfate kinase
NC_007604,945639,-,-,Synpcc7942_0940,XRE family transcriptional regulator
NC_007604,947773,-,-,Synpcc7942_0941,ATPase
NC_007604,949920,-,-,Synpcc7942_0942,FtsH peptidase
NC_007604,950237,+,-,Synpcc7942_0943,acetylornithine aminotransferase
NC_007604,951502,+,-,Synpcc7942_0944,FolC bifunctional protein
NC_007604,953767,-,-,Synpcc7942_0945,hypothetical protein
NC_007604,954141,+,-,Synpcc7942_0946,UDP-galactopyranose mutase
NC_007604,956714,-,-,Synpcc7942_0947,ATPase
NC_007604,957546,-,-,Synpcc7942_0948,permease of sugar ABC transporter
NC_007604,958424,-,-,Synpcc7942_0949,permease of sugar ABC transporter
NC_007604,959737,-,-,Synpcc7942_0950,multiple sugar transport system substrate-binding protein
NC_007604,959837,+,-,Synpcc7942_0951,nicotinate-nucleotide pyrophosphorylase
NC_007604,961620,-,-,Synpcc7942_0952,hypothetical protein
NC_007604,962208,-,-,Synpcc7942_0953,hypothetical protein
NC_007604,963300,-,-,Synpcc7942_0954,glycine cleavage T-protein-like protein
NC_007604,963790,-,-,Synpcc7942_0955,hypothetical protein
NC_007604,963926,+,-,Synpcc7942_0956,hypothetical protein
NC_007604,965072,+,-,Synpcc7942_0957,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
NC_007604,966355,-,purN,Synpcc7942_0958,phosphoribosylglycinamide formyltransferase
NC_007604,967561,-,obgE,Synpcc7942_0959,GTPase ObgE
NC_007604,967595,+,-,Synpcc7942_0960,ATPase
NC_007604,968937,+,-,Synpcc7942_0961,cell envelope-related function transcriptional attenuator
NC_007604,971323,-,-,Synpcc7942_0962,sun protein
NC_007604,971669,-,-,Synpcc7942_0963,methyltransferase
NC_007604,971856,+,-,Synpcc7942_0964,hypothetical protein
NC_007604,972388,+,-,Synpcc7942_0965,ammonium transporter
NC_007604,973946,-,-,Synpcc7942_0966,hypothetical protein
NC_007604,974099,+,hemC,Synpcc7942_0967,porphobilinogen deaminase
NC_007604,975117,+,-,Synpcc7942_0968,hypothetical protein
NC_007604,976195,-,-,Synpcc7942_0969,carboxymethylenebutenolidase
NC_007604,976311,+,-,Synpcc7942_0970,phytoene dehydrogenase
NC_007604,979261,-,-,Synpcc7942_0971,hypothetical protein
NC_007604,979369,+,-,Synpcc7942_0972,hypothetical protein
NC_007604,980930,-,-,Synpcc7942_0973,UDP-glucose 6-dehydrogenase
NC_007604,981137,-,-,Synpcc7942_0974,UDP-glucose dehydrogenase
NC_007604,982144,-,mraW,Synpcc7942_0975,S-adenosyl-methyltransferase MraW
NC_007604,982168,+,-,Synpcc7942_0976,hypothetical protein
NC_007604,986140,-,-,Synpcc7942_0977,phosphoribulokinase
NC_007604,986328,+,-,Synpcc7942_0978,ferredoxin-NADP oxidoreductase
NC_007604,988577,-,-,Synpcc7942_0979,hypothetical protein
NC_007604,989276,-,-,Synpcc7942_0980,hypothetical protein
NC_007604,989730,-,ssrA,Synpcc7942_R0017,-
NC_007604,991494,-,-,Synpcc7942_0981,hypothetical protein
NC_007604,991553,+,-,Synpcc7942_0982,hypothetical protein
NC_007604,992187,+,-,Synpcc7942_0983,deoxyribose-phosphate aldolase
NC_007604,992870,+,recO,Synpcc7942_0984,DNA repair protein RecO
NC_007604,993654,+,-,Synpcc7942_0985,hypothetical protein
NC_007604,995074,+,-,Synpcc7942_0986,glycosyltransferase
NC_007604,996723,-,-,Synpcc7942_0987,ferric uptake regulator family protein
NC_007604,997275,-,-,Synpcc7942_0988,hypothetical protein
NC_007604,997825,-,-,Synpcc7942_0989,hypothetical protein
NC_007604,998454,-,cobU,Synpcc7942_0990,adenosylcobinamide kinase
NC_007604,999729,-,-,Synpcc7942_0991,proton extrusion protein PcxA
NC_007604,999802,+,-,Synpcc7942_0992,hypothetical protein
NC_007604,1003145,-,-,Synpcc7942_0993,hypothetical protein
NC_007604,1003746,-,-,Synpcc7942_0994,hypothetical protein
NC_007604,1003809,+,-,Synpcc7942_0995,hypothetical protein
NC_007604,1004254,+,-,Synpcc7942_0996,glycerate kinase
NC_007604,1005432,-,rpmF,Synpcc7942_0997,50S ribosomal protein L32
NC_007604,1005621,+,-,Synpcc7942_0998,FtsH peptidase
NC_007604,1007880,-,-,Synpcc7942_0999,hypothetical protein
NC_007604,1011369,-,-,Synpcc7942_1000,hypothetical protein
NC_007604,1013736,-,-,Synpcc7942_1001,aspartate kinase
NC_007604,1013887,+,-,Synpcc7942_1002,photosystem I reaction center subunit II
NC_007604,1014408,+,-,Synpcc7942_1003,"anthranilate synthase, component I"
NC_007604,1016316,-,-,Synpcc7942_1004,hypothetical protein
NC_007604,1016315,+,-,Synpcc7942_1005,HAD family hydrolase
NC_007604,1017044,+,-,Synpcc7942_1006,TPR repeat-containing protein
NC_007604,1020295,-,fumC,Synpcc7942_1007,fumarate hydratase
NC_007604,1021186,-,purU,Synpcc7942_1008,formyltetrahydrofolate deformylase
NC_007604,1021950,-,-,Synpcc7942_1009,XRE family transcriptional regulator
NC_007604,1022700,-,-,Synpcc7942_1010,ribosomal large subunit pseudouridine synthase B
NC_007604,1023956,-,-,Synpcc7942_1011,PAS/PAC sensor signal transduction histidine kinase
NC_007604,1024742,-,-,Synpcc7942_1012,two component transcriptional regulator
NC_007604,1025625,-,-,Synpcc7942_1013,hypothetical protein
NC_007604,1028417,-,-,Synpcc7942_1014,CheA signal transduction histidine kinase
NC_007604,1030952,-,-,Synpcc7942_1015,methyl-accepting chemotaxis sensory transducer
NC_007604,1031435,-,-,Synpcc7942_1016,chemotaxis protein CheW
NC_007604,1032458,-,-,Synpcc7942_1017,hypothetical protein
NC_007604,1032577,+,-,Synpcc7942_1018,hypothetical protein
NC_007604,1033300,+,-,Synpcc7942_1019,4-alpha-glucanotransferase
NC_007604,1034796,+,-,Synpcc7942_1020,O-succinylbenzoate synthase
NC_007604,1035731,+,-,Synpcc7942_1021,O-succinylbenzoic acid--CoA ligase
NC_007604,1037837,-,-,Synpcc7942_1022,hypothetical protein
NC_007604,1038086,-,-,Synpcc7942_1023,hypothetical protein
NC_007604,1039098,-,-,Synpcc7942_1024,hypothetical protein
NC_007604,1039168,+,-,Synpcc7942_1025,TPR repeat-containing protein
NC_007604,1041725,-,-,Synpcc7942_1026,fibronectin binding protein-like protein
NC_007604,1041800,+,-,Synpcc7942_1027,hypothetical protein
NC_007604,1043340,-,-,Synpcc7942_1028,hypothetical protein
NC_007604,1043928,+,-,Synpcc7942_1029,branched-chain amino acid aminotransferase
NC_007604,1044883,+,-,Synpcc7942_1030,histidinol-phosphate aminotransferase
NC_007604,1046356,-,-,Synpcc7942_1031,hypothetical protein
NC_007604,1046506,+,-,Synpcc7942_1032,hypothetical protein
NC_007604,1047991,+,-,Synpcc7942_1033,hypothetical protein
NC_007604,1048952,+,-,Synpcc7942_1034,transglutaminase-like protein
NC_007604,1050560,-,-,Synpcc7942_1035,proteasome-type protease
NC_007604,1050754,+,-,Synpcc7942_1036,hypothetical protein
NC_007604,1051258,+,-,Synpcc7942_1037,arginine decarboxylase
NC_007604,1053264,+,-,Synpcc7942_1038,photosystem II oxygen-evolving complex 23K protein
NC_007604,1054353,-,-,Synpcc7942_1039,hypothetical protein
NC_007604,1054722,+,-,Synpcc7942_1040,hypothetical protein
NC_007604,1055621,-,-,Synpcc7942_1041,hypothetical protein
NC_007604,1055645,+,-,Synpcc7942_1042,hypothetical protein
NC_007604,1056622,-,-,Synpcc7942_1043,hypothetical protein
NC_007604,1057462,-,-,Synpcc7942_1044,thymidylate synthase
NC_007604,1059114,-,-,Synpcc7942_1045,amidase enhancer-like protein
NC_007604,1059261,+,-,Synpcc7942_1046,hypothetical protein
NC_007604,1060084,+,-,Synpcc7942_1047,phycocyanin subunit beta
NC_007604,1060840,+,-,Synpcc7942_1048,phycocyanin subunit alpha
NC_007604,1061414,+,-,Synpcc7942_1049,phycobilisome rod linker polypeptide
NC_007604,1062310,+,-,Synpcc7942_1050,phycobilisome rod linker polypeptide
NC_007604,1063318,+,-,Synpcc7942_1051,phycocyanin linker protein 9K
NC_007604,1063865,+,-,Synpcc7942_1052,phycocyanin subunit beta
NC_007604,1064595,+,-,Synpcc7942_1053,phycocyanin subunit alpha
NC_007604,1065138,+,-,Synpcc7942_1054,PBS lyase
NC_007604,1066056,+,-,Synpcc7942_1055,phycocyanin alpha-subunit phycocyanobilin lyase
